iucn_sid,am_sid,sciname,area_am,area_iucn_shallow,area_overlap_shallow,sm_perc_shallow,sm_range_shallow,area_ratio_shallow,area_iucn_raw,area_overlap_raw,sm_perc_raw,sm_range_raw,area_ratio_raw
132859,URM-Cn-5604,Oulastrea crispata,6143414.3,9610987.2,4591052.549337752,74.731,AM,63.921,14064717.7,4709103.038850522,76.653,AM,43.68
132860,SLB-62998,Psammocora stellata,2432985.2,1961441.9,1213962.6392177565,61.891,IUCN,80.619,4553046.9,1276849.5439564995,52.481,AM,53.436
132863,SLB-93516,Acropora prostrata,8227951.7,7411115.2,5736332.288712124,77.402,IUCN,90.072,12767200,5882467.689184188,71.494,AM,64.446
132866,URM-Cn-4877,Montipora angulata,11276148.4,10557634.1,8523741.720797095,80.735,IUCN,93.628,17242193.6,8689466.104152283,77.061,AM,65.399
132869,URM-Cn-4750,Acropora florida,10313593.3,12904568.5,9025256.531226376,87.508,AM,79.922,23615392.7,9242604.379089657,89.616,AM,43.673
132871,URM-Cn-5952,Pectinia elongata,2042694.5,6253736.3,1752009.6491082238,85.77,AM,32.664,12521729.4,1807224.9918294954,88.473,AM,16.313
132874,URM-Cn-5888,Scolymia lacera,2190123.2,1994437.7,427603.2244706805,21.44,IUCN,91.065,3277527.9,427603.2244706805,19.524,AM,66.822
132875,URM-Cn-5982,Pocillopora kelleheri,5667840.2,3001949.8,2005822.9333611326,66.817,IUCN,52.965,4691240.7,2084822.8942317723,44.441,IUCN,82.769
132876,URM-Cn-4973,Leptoseris tubulifera,3307910.3,5396015.4,2198618.4900216865,66.465,AM,61.303,8773659.8,2302709.9469815735,69.612,AM,37.703
132877,URM-Cn-5759,Fungia fralinae,1891394.3,3682481.6,1666116.1877360863,88.089,AM,51.362,6414326.8,1712102.3716301073,90.521,AM,29.487
132878,URM-Cn-5549,Favia maxima,5039798.3,11652173.3,4438412.237881804,88.067,AM,43.252,17988781.2,4574511.392247588,90.768,AM,28.016
132880,URM-Cn-4995,Pavona venosa,11436066.4,13692316.4,9602949.96162282,83.971,AM,83.522,24105887.2,9816997.141740222,85.842,AM,47.441
132883,URM-Cn-5572,Goniastrea australensis,6194337.4,13382409.7,5084814.8992970325,82.088,AM,46.287,25602176.4,5304350.361000143,85.632,AM,24.195
132884,URM-Cn-5508,Colpophyllia natans,1337472.9,2163448.8,1252197.6440900804,93.624,AM,61.821,3517433.6,1275543.976209569,95.37,AM,38.024
132885,URM-Cn-4965,Leptoseris hawaiiensis,13602045.8,14017008.8,10419581.929294836,76.603,AM,97.04,25936278.6,10674544.816314798,78.477,AM,52.444
132886,SLB-93397,Acropora seriata,3588971,4693240.4,2581828.8007808337,71.938,AM,76.471,6987192.9,2615502.4642686234,72.876,AM,51.365
132892,URM-Cn-4910,Montipora hodgsoni,5777116.8,5445516.7,4181648.182546173,76.791,IUCN,94.26,8458041.8,4273581.1758737415,73.974,AM,68.303
132894,URM-Cn-5557,Favia veroni,5368772.2,11602940.1,4638621.934313838,86.4,AM,46.271,19709144.5,4819740.458721163,89.774,AM,27.24
132900,URM-Cn-5894,Symphyllia radians,13128206.3,13120216.2,10364731.532988103,78.998,IUCN,99.939,21985243.5,10590611.730272623,80.671,AM,59.714
132902,SLB-62642,Fungia puishani,614004.1,669177.7,482043.9288256665,78.508,AM,91.755,1525690.1,482043.9288256665,78.508,AM,40.244
132903,URM-Cn-4970,Leptoseris solida,8177866.4,8871298.2,4838302.792148162,59.163,AM,92.183,18259556.9,5034900.332216622,61.567,AM,44.787
132906,SLB-93376,Acropora irregularis,7631181,6576466,4637776.57562338,70.521,IUCN,86.179,11416584.5,4698111.169966941,61.565,AM,66.843
132908,URM-Cn-4818,Acropora rosaria,10241229.5,8929290.7,6793532.235395556,76.081,IUCN,87.19,17184773.6,6978113.121255482,68.137,AM,59.595
132909,URM-Cn-4848,Acropora turaki,6584709.7,6701847.2,4673617.137010884,70.977,AM,98.252,10005257.6,4762296.64407947,72.324,AM,65.812
132911,URM-Cn-4992,Pavona maldivensis,15018027,15166786.9,12093284.345767438,80.525,AM,99.019,29132833.9,12393599.700180449,82.525,AM,51.55
132915,SLB-158712,Siderastrea stellata,2997345.3,528938.9,452941.95513396885,85.632,IUCN,17.647,686235.6,465183.25526123605,67.788,IUCN,22.895
132916,URM-Cn-5470,Turbinaria irregularis,2547098.7,9011712.7,2262674.549803402,88.833,AM,28.264,16010025.7,2317863.1451506126,91,AM,15.909
132917,URM-Cn-4958,Gardineroseris planulata,15874009.9,15535267.5,12526839.853388285,80.635,IUCN,97.866,29409070.4,12827155.207801295,80.806,AM,53.977
132922,URM-Cn-5595,Montastrea curta,14216172.4,13758373.9,10984834.019948063,79.841,IUCN,96.78,26603248.9,11281585.555864016,79.357,AM,53.438
132923,URM-Cn-5985,Pocillopora woodjonesi,10147208.8,11373572.5,8644859.803504882,85.194,AM,89.217,21088459.2,8892469.016921042,87.635,AM,48.117
132927,SLB-61850,Leptoseris striata,2105246.8,6581022.1,1766629.6294481445,83.916,AM,31.99,9651208.3,1815716.455928804,86.247,AM,21.813
132928,URM-Cn-5953,Pectinia lactuca,8618545.3,12275344.7,7413910.63583519,86.023,AM,70.21,21582116.5,7586358.4644162925,88.024,AM,39.934
132931,URM-Cn-4854,Acropora willisae,8193755,10334541.2,6080625.081174056,74.21,AM,79.285,15809518,6204653.792732331,75.724,AM,51.828
132933,URM-Cn-4723,Acropora carduus,10827638,6358464.1,5454938.767017124,85.79,IUCN,58.724,13139037.2,5641475.502573279,52.103,AM,82.408
132935,URM-Cn-4807,Acropora plumosa,5100120.9,5349092.1,3958167.4931628895,77.609,AM,95.346,8628116.4,4040955.3848209414,79.233,AM,59.11
132936,SLB-190543,Favia pallida,16060350,15530037.8,13672019.92507199,88.036,IUCN,96.698,28589731.3,14002430.183585454,87.186,AM,56.175
132940,URM-Cn-4710,Acropora acuminata,7721655.5,11789417.3,6775803.0888353065,87.751,AM,65.496,21418653.8,6927185.109364298,89.711,AM,36.051
132941,URM-Cn-5862,Indophyllia macassarensis,3093061.2,140715.4,131545.11516080127,93.483,IUCN,4.549,195714.9,131545.11516080127,67.213,IUCN,6.328
132942,SLB-93057,Montipora patula,69062.2,172783.8,69062.17663333686,100,AM,39.97,637215.9,69062.17663333686,100,AM,10.838
132945,URM-Cn-6043,Porites colonensis,1800973.6,75914,69839.23084694841,91.998,IUCN,4.215,130453.8,69839.23084694841,53.536,IUCN,7.244
132946,SLB-93732,Acropora lianae,4293182.7,4323684.8,3234970.3429717203,75.351,AM,99.295,6399260.4,3277640.6647296534,76.345,AM,67.089
132950,SLB-158633,Acropora macrostoma,6366756.4,5085742.2,2449635.5914487056,48.167,IUCN,79.88,8410594.5,2498283.6053655082,39.24,AM,75.699
132957,URM-Cn-5465,Turbinaria bifrons,4455926,8546824,2696372.697430896,60.512,AM,52.135,12037478.6,2764472.5169524183,62.04,AM,37.017
132962,URM-Cn-5892,Symphyllia erythraea,739140.7,1256238.3,532539.4774166032,72.048,AM,58.838,2283966.3,541213.2839535482,73.222,AM,32.362
132963,URM-Cn-5591,Manicina areolata,2100033.7,2025270.6,1737012.9471217531,85.767,IUCN,96.44,3311168.1,1763096.9439225956,83.956,AM,63.423
132967,URM-Cn-5485,Euphyllia yaeyamaensis,8213611.1,7440467.3,5535391.4119087765,74.396,IUCN,90.587,14140735.5,5728988.822163394,69.75,AM,58.085
132968,URM-Cn-5779,Halomitra clavator,1891394.3,767788.1,314224.5528561388,40.926,IUCN,40.594,1270578.3,329583.0634653308,25.94,IUCN,67.177
132969,URM-Cn-4774,Acropora listeri,9315183.4,11666822.3,7465660.218819966,80.145,AM,79.843,20840128.1,7656098.941543913,82.189,AM,44.698
132970,URM-Cn-4954,Agaricia lamarcki,1405868.9,2001761.9,1314484.6733306928,93.5,AM,70.232,3304052.2,1337831.0054501814,95.16,AM,42.55
132972,URM-Cn-4800,Acropora paniculata,8356634.1,8615481.8,6205330.7924354775,74.256,AM,96.996,17093752.5,6395589.170764462,76.533,AM,48.887
132974,SLB-62368,Plerogyra discus,4365440.8,5260090.7,3276189.886951246,75.048,AM,82.992,8433012.1,3386432.0994816916,77.574,AM,51.766
132977,URM-Cn-4937,Montipora stilosa,1895641.6,1834312.6,1244773.8155143142,67.861,IUCN,96.765,3343077,1265364.7421460778,66.751,AM,56.703
132980,URM-Cn-5590,Leptoria phrygia,7999240.2,14617463.8,7047582.826072768,88.103,AM,54.724,27130626.1,7252647.690823209,90.667,AM,29.484
132983,URM-Cn-5584,Leptastrea bottae,9034260.5,9105184.8,5025570.954378108,55.628,AM,99.221,17410757,5163764.117685718,57.158,AM,51.889
132984,URM-Cn-4736,Acropora derawanensis,4996026.4,5004259.4,3844580.3164249,76.953,AM,99.835,7644258.5,3927329.9354791995,78.609,AM,65.357
132987,URM-Cn-5524,Echinopora gemmacea,11470427.5,13933486.1,9168242.582318414,79.929,AM,82.323,25504010.4,9400221.27237766,81.952,AM,44.975
132988,URM-Cn-4777,Acropora longicyathus,11131586.9,12227759.2,8739914.784756213,78.515,AM,91.035,23362051.5,8963338.751457496,80.522,AM,47.648
132990,URM-Cn-4790,Acropora multiacuta,7013136.6,6525341.6,4827008.350798364,73.973,IUCN,93.045,10367625.8,4933968.32733283,70.353,AM,67.645
132991,URM-Cn-6123,Coscinaraea crassa,5941954.3,7750171.6,4100080.844878986,69.002,AM,76.669,13345245.3,4231146.639523911,71.208,AM,44.525
132992,URM-Cn-4761,Acropora humilis,11931678.7,13959617.6,9692257.599327639,81.231,AM,85.473,26557697,9920953.480430009,83.148,AM,44.927
132996,URM-Cn-5772,Fungia seychellensis,1431876.7,960418.4,714605.3619471064,74.406,IUCN,67.074,2639077.3,729736.5052673811,50.964,AM,54.257
133000,URM-Cn-4796,Acropora ocellata,5301213.8,1356033,801617.8948346962,59.115,IUCN,25.58,2483682.5,821896.9736510076,33.092,IUCN,46.851
133002,SLB-117497,Seriatopora stellata,8036035.2,7548818.1,5228231.726744697,69.259,IUCN,93.937,14014039.1,5313940.846431271,66.126,AM,57.343
133003,URM-Cn-5583,Leptastrea bewickensis,5513587,7628858.6,2721849.0444063554,49.366,AM,72.273,12228122,2786445.144168243,50.538,AM,45.089
133004,SLB-62804,Simplastrea vesicularis,2931421.9,4980293.9,2503232.7729312098,85.393,AM,58.86,7508054.4,2561517.8136431132,87.381,AM,39.044
133006,URM-Cn-4798,Acropora palmata,1410920.9,2040852.7,1334493.88171565,94.583,AM,69.134,3377834.9,1349150.7720782731,95.622,AM,41.77
133007,URM-Cn-4917,Montipora malampaya,4393021.4,4911304.5,3224513.611406939,73.401,AM,89.447,7664344.8,3270086.982683606,74.438,AM,57.318
133008,URM-Cn-5775,Fungia spinifer,1891394.3,3991838.3,1672269.7360597374,88.415,AM,47.382,7660192.4,1715232.3041978495,90.686,AM,24.691
133011,SLB-117488,Pocillopora ankeli,4495754.3,5045766,3528083.730259335,78.476,AM,89.1,7578521.9,3555696.378326429,79.09,AM,59.322
133013,URM-Cn-4755,Acropora grandis,11267053.2,12488881.1,8887443.976044435,78.88,AM,90.217,22952496.1,9107418.698349811,80.832,AM,49.089
133018,URM-Cn-4786,Acropora minuta,2659957.1,4171410.6,2296595.1778508495,86.34,AM,63.766,6140179.4,2330277.901222926,87.606,AM,43.321
133020,URM-Cn-4841,Acropora tenuis,12278697.3,14030936.4,10152143.74870525,82.681,AM,87.512,26427978.8,10395503.53866648,84.663,AM,46.461
133023,URM-Cn-6062,Porites lichen,6172007.5,13507477.3,5345113.975879593,86.603,AM,45.693,26502756.5,5564936.877506814,90.164,AM,23.288
133024,URM-Cn-5827,Merulina scabricula,5208787,12140761.3,4609514.3970634695,88.495,AM,42.903,21756101.2,4799459.734145175,92.142,AM,23.942
133025,URM-Cn-4850,Acropora vaughani,9541216.8,11858137.9,8242910.959665635,86.393,AM,80.461,22395351.1,8454044.516488079,88.606,AM,42.604
133026,SLB-117486,Mycedium mancaoi,2160621.3,7954051.3,1776494.9200468885,82.221,AM,27.164,15896982.1,1837834.5211107077,85.06,AM,13.591
133029,URM-Cn-5552,Favia rotumana,3976410.8,14779452.5,3597897.36370355,90.481,AM,26.905,26971776.9,3648974.3790143123,91.766,AM,14.743
133031,URM-Cn-4897,Montipora effusa,11350225,8037868,6242346.614647246,77.662,IUCN,70.817,16171174.4,6394976.790167226,56.342,AM,70.188
133032,URM-Cn-5869,Lobophyllia flabelliformis,8907043,6402082.1,5511309.032262695,86.086,IUCN,71.877,10108688.8,5653675.737907893,63.474,AM,88.113
133033,URM-Cn-4813,Acropora pulchra,11340449.2,12710179.8,9193025.125786323,81.064,AM,89.223,24319847.7,9422162.310009452,83.085,AM,46.63
133034,SLB-189121,Fungia fragilis,2514255.1,13501825.4,2411236.656892893,95.903,AM,18.622,23760098.9,2451080.2074694103,97.487,AM,10.582
133037,URM-Cn-5885,Mycetophyllia reesi,1317706.3,1785050.8,1160169.4849965936,88.045,AM,73.819,3045500.5,1174826.3753592167,89.157,AM,43.267
133038,URM-Cn-6069,Porites nigrescens,1796400.8,13261645,1759601.102527009,97.951,AM,13.546,24330177.1,1790290.7304609292,99.66,AM,7.383
133043,URM-Cn-6135,Psammocora digitata,12147658.4,12511815.2,9832288.520268736,80.94,AM,97.089,23741555.4,10094687.627733294,83.1,AM,51.166
133045,SLB-158820,Pocillopora ligulata,5451341.3,1312501.1,714231.9905517905,54.418,IUCN,24.077,5514415.1,791498.8940597216,14.519,AM,98.856
133046,URM-Cn-4861,Anacropora spinosa,5869289.3,5934132.3,3978166.499967921,67.779,AM,98.907,10015301.9,4044867.016985248,68.916,AM,58.603
133053,URM-Cn-5887,Scolymia cubensis,2433066.4,2705411.8,2118955.2600750183,87.09,AM,89.933,4260525.7,2142301.592194507,88.049,AM,57.107
133055,URM-Cn-5564,Favites halicora,6478114.4,13180761.3,5775314.734421068,89.151,AM,49.148,23631365.9,5968707.788950622,92.136,AM,27.413
133057,URM-Cn-5482,Euphyllia paradivisa,2775251.3,4207260,2314799.502119181,83.409,AM,65.963,6301427.3,2360762.1213005586,85.065,AM,44.042
133058,URM-Cn-5930,Echinophyllia echinata,6137516.6,11507508.4,4639814.186905128,75.598,AM,53.335,23245080.5,4826966.553178244,78.647,AM,26.404
133059,URM-Cn-5617,Platygyra verweyi,7265440.7,9199086.8,5939162.584954339,81.745,AM,78.98,13254309.8,6045081.733311784,83.203,AM,54.816
133064,URM-Cn-4899,Montipora florida,3227050.9,4552550.2,2658995.816542601,82.397,AM,70.884,6668378.1,2677408.3628869695,82.968,AM,48.393
133066,URM-Cn-4913,Montipora informis,14039476.5,14520872.7,11842104.174242469,84.349,AM,96.685,27155548.3,12139921.705026535,86.47,AM,51.7
133070,URM-Cn-5601,Montastrea colemani,9467492.7,8411294.3,6200143.568632051,73.712,IUCN,88.844,13626373.8,6330991.391451904,66.871,AM,69.479
133071,URM-Cn-4901,Montipora foliosa,12788824,14051515.9,10377806.766941598,81.147,AM,91.014,25883118.7,10624443.163984502,83.076,AM,49.41
133076,URM-Cn-5873,Lobophyllia robusta,10391042.7,9577099.3,6712240.743601219,70.086,IUCN,92.167,16561354.8,6866275.677672889,66.079,AM,62.743
133081,URM-Cn-4770,Acropora kirstyae,5187806.8,7069203.9,3741682.2644168753,72.125,AM,73.386,13798254,3833571.4085364146,73.896,AM,37.598
133082,URM-Cn-6064,Porites lutea,6450764.7,15874924.7,5889352.074155354,91.297,AM,40.635,29507998.7,6113313.622602131,94.769,AM,21.861
133084,SLB-62376,Barabattoia amicorum,6565188,12677657.2,5828513.146078445,88.779,AM,51.785,23313404,6030437.977057099,91.855,AM,28.161
133087,URM-Cn-4836,Acropora subglabra,9375094.3,10816297.7,8213453.946298969,87.609,AM,86.676,18712562.4,8410134.750353448,89.707,AM,50.101
133088,URM-Cn-5528,Echinopora lamellosa,9499566.5,14756518.4,8218124.74637303,86.511,AM,64.375,27548594.3,8435301.098268423,88.797,AM,34.483
133089,URM-Cn-5935,Echinophyllia patula,1891394.3,7504925.9,1705869.0510919443,90.191,AM,25.202,11891181.3,1751855.234985965,92.622,AM,15.906
133090,URM-Cn-5587,Leptastrea purpurea,10233777.7,15680692.4,8975371.20009738,87.703,AM,65.264,29217640.7,9210427.217115298,90,AM,35.026
133092,URM-Cn-4866,Astreopora incrustans,7295308.9,5512070.7,4008903.6891047885,72.73,IUCN,75.556,8373770.7,4065826.623732918,55.732,AM,87.121
133094,URM-Cn-6138,Psammocora nierstraszi,11110862.3,12732681,8498136.078276074,76.485,AM,87.263,23674314,8735391.061096104,78.62,AM,46.932
133096,SLB-158798,Porites columnaris,1375484.3,835443.1,625831.0370533788,74.91,IUCN,60.738,1306199.7,631616.6193951829,48.355,IUCN,94.963
133097,SLB-117490,Pocillopora danae,7533084.8,6383936.4,4826273.486850989,75.6,IUCN,84.745,10681124.5,4941872.236043232,65.602,AM,70.527
133099,URM-Cn-5977,Pocillopora elegans,9261402.2,6638728.3,4825020.026096273,72.68,IUCN,71.682,14110059.1,4964737.77415584,53.607,AM,65.637
133100,URM-Cn-4956,Agaricia undata,1831410.7,1750265.3,1228136.620861253,70.169,IUCN,95.569,2744023.5,1248623.442996481,68.178,AM,66.742
133102,URM-Cn-5814,Dichocoenia stokesii,2327645.4,2195985.9,1880331.549350536,85.626,IUCN,94.344,3596872,1906415.5461513784,81.903,AM,64.713
133106,URM-Cn-5849,Acanthastrea hillae,9418372.6,12416498.7,8018815.211411431,85.14,AM,75.854,21960086.2,8205962.802985242,87.127,AM,42.889
133109,URM-Cn-5901,Galaxea acrhelia,3750825.2,4484518.5,2290349.6535586873,61.063,AM,83.639,8024262.9,2363952.0564667135,63.025,AM,46.744
133110,URM-Cn-5750,Ctenactis crassa,6126103.2,11426016.6,5280812.843656207,86.202,AM,53.615,19471233.5,5468079.099053909,89.259,AM,31.462
133111,SLB-61810,Montipora saudii,286318.5,488745.8,269025.098166782,93.96,AM,58.582,625245,274810.6805085861,95.981,AM,45.793
133112,URM-Cn-4724,Acropora caroliniana,7030440.4,5543233.9,3911037.1815451873,70.555,IUCN,78.846,9844518.3,4033095.0691273664,57.366,AM,71.415
133113,URM-Cn-4880,Montipora cactus,4123881,4934734.4,2991558.01687234,72.542,AM,83.568,7649012.1,3031384.5174303944,73.508,AM,53.914
133115,SLB-93474,Acropora retusa,10010561.6,6528650,4735455.956965164,72.533,IUCN,65.218,13603677.4,4847703.69418169,48.426,AM,73.587
133120,SLB-61654,Acropora latistella,12495180.5,13400753,9379380.051458746,75.064,AM,93.242,25435654.4,9608517.235681877,76.898,AM,49.125
133121,URM-Cn-6145,Siderastrea glynni,83966.4,30447.5,0,0,IUCN,36.262,30447.5,0,0,IUCN,36.262
133122,SLB-93687,Acropora plantaginea,2139229.2,1393862.6,1081335.3044605155,77.578,IUCN,65.157,2910885.6,1101769.2251742408,51.503,AM,73.491
133124,SLB-158750,Dendrogyra cylindrus,2359887.1,1976661.2,1241398.5630029603,62.803,IUCN,83.761,3211066.1,1876230.8744634502,79.505,AM,73.492
133125,URM-Cn-4748,Acropora fenneri,3115592.8,4275630.8,2608169.7803996345,83.713,AM,72.869,6285504.6,2626582.3267440023,84.304,AM,49.568
133127,URM-Cn-5896,Symphyllia valenciennesii,13677552,13808612.1,11081657.811175315,81.021,AM,99.051,24959400.9,11325489.709219549,82.803,AM,54.799
133128,URM-Cn-4812,Acropora pruinosa,243067.6,1129348.5,201551.33437698527,82.92,AM,21.523,1346025.6,201551.33437698527,82.92,AM,18.058
133129,URM-Cn-4872,Astreopora ocellata,10476922.3,11449364.1,8056966.042141204,76.902,AM,91.507,20106843.7,8253182.076922956,78.775,AM,52.106
133131,URM-Cn-4903,Montipora friabilis,9091460.4,7498276.3,5174481.778401764,69.009,IUCN,82.476,12242975.4,5277863.398287974,58.053,AM,74.259
133132,URM-Cn-4714,Acropora aspera,11995499.3,10985783.6,9438973.659253052,85.92,IUCN,91.583,20046255.3,9695312.539970672,80.825,AM,59.839
133133,URM-Cn-4708,Acropora abrolhosensis,7498361.8,5178288.5,3662917.108196648,70.736,IUCN,69.059,9650161.9,3765724.3689871742,50.221,AM,77.702
133134,URM-Cn-5592,Montastraea annularis,3344431.7,2141157.7,1715331.6503766212,80.112,IUCN,64.022,3492335.2,2336509.57481222,69.863,AM,95.765
133139,SLB-184813,Isopora palifera,11222369.6,13045661.3,9306980.597543567,82.932,AM,86.024,23525889.9,9512365.848155957,84.763,AM,47.702
133142,URM-Cn-5096,Cladocora caespitosa,1333772.6,1032310.8,863436.9138695927,83.641,IUCN,77.398,1148304.7,868390.0978207425,75.624,IUCN,86.094
